category,url,title
National,http://www.thehindu.com/news/national/shift-parliament-sessions-to-south-mp/article22319985.ece,Shift Parliament sessions to south: AIADMK MP Navaneethakrishnan
International,http://www.thehindu.com/news/international/us-tracks-santas-path/article22277236.ece,U.S. ‘tracks’ Santa’s path
National,http://www.thehindu.com/news/national/delhi-court-awards-life-term-to-ex-tv-producer-suhaib-ilyasi/article22037039.ece,Ex-TV serial producer Suhaib Ilyasi awarded life imprisonment for killing wife Anju
National,http://www.thehindu.com/news/national/surgical-strike-claims-a-lie-pakistan/article22320033.ece,Surgical strike claims a lie: Pakistan
National,http://www.thehindu.com/news/national/government-not-taking-the-lives-of-armed-forces-seriously-alleges-scindia/article22351306.ece,"Government not taking the lives of armed forces seriously, alleges Scindia"
National,http://www.thehindu.com/news/national/coal-scam-high-court-stays-sentence-order-on-25-lakh-fine-on-madhu-koda/article22351706.ece,"Coal scam: High Court stays sentence, order on ₹25 lakh fine on Madhu Koda"
National,http://www.thehindu.com/news/national/justice-karnan-released-from-kolkatas-presidency-jail/article22009844.ece,Justice Karnan released from Kolkata’s Presidency jail
National,http://www.thehindu.com/news/national/muslim-bodies-not-consulted-on-triple-talaq-bill-govt/article22035361.ece,Muslim bodies not consulted on triple talaq Bill: Govt
International,http://www.thehindu.com/news/international/germany-france-urge-end-to-renewed-fighting-in-east-ukraine/article22266926.ece,"Germany, France urge end to renewed fighting in east Ukraine"
International,http://www.thehindu.com/news/international/coptic-diocese-says-hundreds-assault-church-in-egypt/article22266766.ece,Coptic diocese says hundreds assault church in Egypt
International,http://www.thehindu.com/news/international/european-commission-says-brexit-transition-should-last-to-end-2020/article22041396.ece,European Commission says Brexit transition should last to end-2020
International,http://www.thehindu.com/news/international/Plane-carrying-13-missing-in-Papua-New-Guinea/article16874679.ece,Plane carrying 13 missing in Papua New Guinea
International,http://www.thehindu.com/news/international/wang-yis-india-visit-was-meant-to-deter-anotherdoklam-chinese-blog/article21826774.ece,Wang Yi’s India visit was meant to deter another Doklam: Chinese blog
